book_links,book_title,book_author,book_prices,book_img_urls
https://diwanegypt.com/product/%d8%af%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d9%82%d8%a7%d8%aa%d9%84-%d8%a7%d9%84%d9%85%d8%ad%d8%aa%d8%b1%d9%81-%d9%84%d8%aa%d9%86%d8%b8%d9%8a%d9%81-%d8%a7%d9%84%d8%a8/,دليل القاتل المحترف لتنظيف الب,هالجريمر هيلجاسون,EGP195.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789773139162-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%ad%d9%83%d8%a7%d9%8a%d8%a7%d8%aa-%d8%a5%d9%84%d9%8a%d9%86-%d9%82%d8%a8%d8%b6%d8%a9-%d8%a3%d9%88-%d9%82%d9%84%d8%a8/,حكايات إلين قبضة أو قلب,كريستين إريكسدوتر,EGP180.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789773139148-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%b3%d8%a7%d8%ad%d9%80%d9%80%d8%b1%d8%a9-%d8%a7%d9%84%d8%b9%d8%ab%d9%85%d8%a7%d9%86%d9%8a%d8%a9/,الساحــرة العثمانية,باريش مستجابلي أوغلو,EGP195.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789773139131-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a3%d9%86%d8%b4%d9%88%d8%af%d8%a9-%d8%a7%d9%84%d8%ad%d9%86%d9%8a%d9%86/,أنشودة الحنين,نعيم صبرى,EGP90.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789770937839-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%85%d8%b5%d8%b7%d9%81%d9%89-%d8%a7%d9%84%d9%86%d8%ad%d8%a7%d8%b3-%d8%b2%d8%b9%d9%8a%d9%85-%d8%a7%d9%84%d8%b7%d8%a8%d9%82%d8%a9-%d8%a7%d9%84%d9%88%d8%b3%d8%b7/,مصطفى النحاس زعيم الطبقة الوسط,علاء الحديدى,EGP130.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789770937808-450x600.jpg
,,,,
